Ticker,ID
MKC,1
BLK,2
TMUS,3
BXP,4
HOLX,5
MPWR,6
CMI,7
ADP,8
CRM,9
NDAQ,10
MCK,11
BMY,12
ETN,13
JBHT,14
GD,15
ROK,16
PPG,17
BR,18
OMC,19
IVZ,20
TEL,21
CHRW,22
EG,23
KHC,24
TRMB,25
AMZN,26
ABT,27
CLX,28
NI,29
MCHP,30
SRE,31
STLD,32
HES,33
UBER,34
RCL,35
NRG,36
SBUX,37
WBA,38
MNST,39
PFE,40
ODFL,41
NKE,42
F,43
ALGN,44
LKQ,45
BLDR,46
AJG,47
STE,48
TPR,49
FSLR,50
SNPS,51
CTRA,52
ANET,53
FTV,54
GOOG,55
TT,56
AVY,57
SLB,58
NWS,59
AMT,60
LIN,61
T,62
MTCH,63
EIX,64
UNP,65
CAT,66
DLTR,67
BK,68
EA,69
HST,70
VRTX,71
WTW,72
CNP,73
AWK,74
CHD,75
LUV,76
IP,77
KR,78
FIS,79
TSLA,80
IR,81
GL,82
WDC,83
FITB,84
TYL,85
GILD,86
A,87
VLO,88
RMD,89
PODD,90
AZO,91
CHTR,92
PCG,93
MOS,94
WAB,95
DECK,96
BBWI,97
OXY,98
CTLT,99
XOM,100
FANG,101
NUE,102
LMT,103
AES,104
O,105
SPGI,106
TXN,107
NTRS,108
FI,109
CI,110
COST,111
DVN,112
ABBV,113
PKG,114
MGM,115
ACN,116
UPS,117
KMX,118
COR,119
USB,120
MMC,121
NSC,122
ICE,123
QCOM,124
INTC,125
EQR,126
PNC,127
CCI,128
DGX,129
PNR,130
BRO,131
XEL,132
ADBE,133
CVS,134
PCAR,135
MCO,136
AVB,137
SO,138
GDDY,139
UAL,140
LW,141
CFG,142
PWR,143
ANSS,144
CAG,145
HCA,146
NOC,147
LVS,148
ORCL,149
PSX,150
META,151
ISRG,152
RVTY,153
CPB,154
CINF,155
ABNB,156
KO,157
ECL,158
BDX,159
AON,160
MSCI,161
FCX,162
RJF,163
JCI,164
MAR,165
UNH,166
WST,167
CMG,168
MAS,169
MSI,170
DFS,171
PM,172
INCY,173
EXPE,174
PTC,175
KEY,176
MLM,177
GS,178
ROST,179
IPG,180
GIS,181
PEG,182
SWK,183
HLT,184
FAST,185
STZ,186
BWA,187
CTVA,188
WM,189
KKR,190
JKHY,191
GE,192
WMT,193
LYB,194
CSX,195
VICI,196
WRB,197
PAYC,198
DHI,199
FTNT,200
CF,201
EQIX,202
WELL,203
NDSN,204
GWW,205
EVRG,206
WEC,207
ED,208
AKAM,209
BALL,210
DHR,211
GPC,212
TAP,213
HWM,214
COO,215
TXT,216
CME,217
IRM,218
ULTA,219
CBRE,220
YUM,221
AMP,222
TTWO,223
PSA,224
SYK,225
CMCSA,226
CCL,227
POOL,228
D,229
WY,230
J,231
WYNN,232
DUK,233
ADSK,234
URI,235
PAYX,236
ITW,237
IBM,238
C,239
TRV,240
EL,241
EFX,242
PYPL,243
PGR,244
SCHW,245
FICO,246
APTV,247
CTAS,248
SWKS,249
PFG,250
INTU,251
MRK,252
BBY,253
CARR,254
ZBH,255
AIG,256
DAL,257
WMB,258
CZR,259
WFC,260
MU,261
VTR,262
KEYS,263
BG,264
LOW,265
SMCI,266
KDP,267
CE,268
STX,269
CTSH,270
ROL,271
NVDA,272
BAC,273
HAS,274
AMGN,275
