Unnamed: 0,Close,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,delta_Close,delta_Volume,delta_reportedEPS,delta_estimatedEPS,delta_surprise,delta_surprisePercentage,delta_Margin_Gross,delta_Margin_Operating,delta_Margin_Net_Profit,delta_^VIX,delta_SPY,delta_CL=F,delta_BZ=F,delta_BTC=F,delta_10year,delta_5year,delta_3year,delta_2year,delta_insider_acquisition,delta_insider_disposal,delta_mean_sentiment,delta_mean_outlook,PQ
1986-06-30 00:00:00+00:00,0.4960939884185791,0.0102274779642339,-0.4749718332528569,0.0957723641536087,-0.6440936863543788,0.2010089797436743,-0.5622769115160624,0.0793713205136465,-0.5115218644630409,159942400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,7.8,7.64,7.8,7.18,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0
1986-09-30 00:00:00+00:00,0.2773439884185791,0.1347038456709796,-0.0653735225923203,0.0113963165897874,1.2168320240368065,-0.2275141804160911,1.3306241979533415,-0.266865123562824,1.3596890616324262,181043200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,7.45,6.92,7.45,6.35,0.0,0.0,0.0,0.0,-0.21875,21100800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34999999999999964,-0.7199999999999998,-0.34999999999999964,-0.8300000000000001,0.0,0.0,0.0,0.0,0
1986-12-31 00:00:00+00:00,0.1484380066394806,0.0037762740140233,0.2007133592736706,-0.0671010147076636,-0.5876369022099233,-0.3300667106873228,-0.3353529148983694,-0.5202342440263438,-0.1582725227514818,365961600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,7.11,6.67,7.11,6.27,0.0,0.0,0.0,0.0,-0.1289059817790985,184918400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33999999999999986,-0.25,-0.33999999999999986,-0.08000000000000007,0.0,0.0,0.0,0.0,1
1987-03-31 00:00:00+00:00,0.2109380066394806,-0.010469163465734,-0.3715758068890697,-0.0748124759931224,-0.7051531392431373,0.1070633456838164,-0.7048800301163044,-0.0981612927275243,-0.5811452072129073,440940800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,7.25,6.79,7.25,6.42,0.0,0.0,0.0,0.0,0.0625,74979200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13999999999999968,0.1200000000000001,0.13999999999999968,0.15000000000000036,0.0,0.0,0.0,0.0,1
1987-06-30 00:00:00+00:00,0.265625,0.0507727508108591,0.787318175398955,0.1327039285463774,0.6965905536440412,0.1748892192037566,0.3268426331368183,0.2736725163414182,0.0957428182785417,191590400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.4,8.02,8.4,7.57,0.0,0.0,0.0,0.0,0.05468699336051941,-249350400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1500000000000004,1.2299999999999995,1.1500000000000004,1.1500000000000004,0.0,0.0,0.0,0.0,0
1987-09-30 00:00:00+00:00,0.25,-0.1004022955206633,0.9726603575184016,-0.1770259029425842,0.3809390901088521,-0.1321383787961514,0.5101782066633795,-0.0004343284749468,0.3867099773984095,319811200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,9.42,8.94,9.42,8.34,0.0,0.0,0.0,0.0,-0.015625,128220800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0199999999999996,0.9199999999999999,1.0199999999999996,0.7699999999999996,0.0,0.0,0.0,0.0,0
1987-12-31 00:00:00+00:00,0.1289059966802597,-0.0085864670731405,0.2793343003282694,-0.0236711802576088,1.4586628324946085,-0.3437931493621411,0.8166335030858993,-0.4398882310167922,0.8474360458386387,273504000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.99,8.45,8.99,7.86,0.0,0.0,0.0,0.0,-0.1210940033197403,-46307200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4299999999999997,-0.4900000000000002,-0.4299999999999997,-0.47999999999999954,0.0,0.0,0.0,0.0,1
1988-03-31 00:00:00+00:00,0.1835940033197403,0.0185754162810394,-0.2838723314309871,0.0064246727324884,-0.561792666364871,0.1089272879067661,-0.6601203155356851,-0.1225424963356979,-0.6702335845442812,330739200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.37,7.83,8.37,7.27,0.0,0.0,0.0,0.0,0.05468800663948059,57235200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.620000000000001,-0.6199999999999992,-0.620000000000001,-0.5900000000000007,0.0,0.0,0.0,0.0,1
1988-06-30 00:00:00+00:00,0.2226559966802597,0.06116827336329,0.3933214853615191,0.1343258735832266,0.9935671236298912,0.2104743377009444,1.079704636768379,0.313109442377502,0.6657606686700095,204483200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.92,8.49,8.92,8.03,0.0,0.0,0.0,0.0,0.03906199336051941,-126256000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5500000000000007,0.6600000000000001,0.5500000000000007,0.7599999999999998,0.0,0.0,0.0,0.0,1
1988-09-30 00:00:00+00:00,0.3203130066394806,-0.0352931113067027,0.1373521126760563,0.0377570083952918,-0.0249949288917937,0.2496837833791881,-0.162271896926781,0.4700477691188847,-0.025968177724407,398985600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.98,8.69,8.98,8.46,0.0,0.0,0.0,0.0,0.09765700995922089,194502400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0600000000000005,0.1999999999999993,0.0600000000000005,0.4300000000000015,0.0,0.0,0.0,0.0,1
