Unnamed: 0,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,delta_Close,delta_Volume,delta_reportedEPS,delta_estimatedEPS,delta_surprise,delta_surprisePercentage,delta_Margin_Gross,delta_Margin_Operating,delta_Margin_Net_Profit,delta_^VIX,delta_SPY,delta_CL=F,delta_BZ=F,delta_BTC=F,delta_10year,delta_5year,delta_3year,delta_2year,delta_insider_acquisition,delta_insider_disposal,delta_mean_sentiment,delta_mean_outlook,PQ
1993-09-30 00:00:00+00:00,0.0268757215111997,-0.8139926000672721,0.0986861315283801,-0.7747362418021101,0.2351370734027296,-0.7938771960340929,0.4075932272732922,-0.7639187495330672,3.6388890743255615,26102700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.989999771118164,45.9375,32.04999923706055,75.73999786376953,19100.0,5.36,4.73,5.36,3.85,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0
1993-12-31 00:00:00+00:00,0.0593713052961212,0.9158576051779936,0.082431239625963,0.4849498327759197,0.0624289995590028,0.0534224366325279,0.2050984485226632,-0.0226991333058192,3.6111109256744385,27556200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65999984741211,46.59375,32.04999923706055,75.73999786376953,19100.0,5.77,5.15,5.77,4.21,0.0,0.0,0.0,0.0,-0.027778148651123047,1453500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3299999237060547,0.65625,0.0,0.0,0.0,0.40999999999999925,0.41999999999999993,0.40999999999999925,0.3599999999999999,0.0,0.0,0.0,0.0,0
1994-03-31 00:00:00+00:00,-0.0652059606450953,0.127027027027027,-0.0761456853090409,0.2052023121387283,-0.0313221411931379,0.1258099352051835,0.0201236734428281,-0.0963920690526924,3.555556058883667,22363200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.450000762939453,44.59375,32.04999923706055,75.73999786376953,19100.0,6.48,5.94,6.48,5.0,0.0,0.0,0.0,0.0,-0.055554866790771484,-5193000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.790000915527344,-2.0,0.0,0.0,0.0,0.7100000000000009,0.79,0.7100000000000009,0.79,0.0,0.0,0.0,0.0,0
1994-06-30 00:00:00+00:00,-0.015525170544148,0.0603960396039604,-0.1035509410592118,0.5205388692579506,-0.1342010233481547,0.054593262959039,-0.11457510851307,-0.2080555568868589,3.2083330154418945,15393000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.970000267028809,44.46875,32.04999923706055,75.73999786376953,19100.0,7.1,6.7,7.1,5.93,0.0,0.0,0.0,0.0,-0.34722304344177246,-6970200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4800004959106445,-0.125,0.0,0.0,0.0,0.6199999999999992,0.7599999999999998,0.6199999999999992,0.9299999999999997,0.0,0.0,0.0,0.0,0
1994-09-30 00:00:00+00:00,0.0039840484864732,-0.6451404585082338,-0.0252707346316973,-0.9082676015191352,-0.0649687864405528,-0.874036104301315,-0.1433056970774201,-0.8226528646331782,3.0,62195400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.279999732971191,46.171875,32.04999923706055,75.73999786376953,19100.0,7.46,7.08,7.46,6.39,0.0,0.0,0.0,0.0,-0.20833301544189453,46802400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6900005340576172,1.703125,0.0,0.0,0.0,0.3600000000000003,0.3799999999999999,0.3600000000000003,0.45999999999999996,0.0,0.0,0.0,0.0,1
1994-12-31 00:00:00+00:00,0.0328888359736668,-0.5122699386503068,0.0751294561026273,-0.7092172640819312,0.1007145764256128,-0.8249819600552817,0.0545571365463521,-0.8158360413114121,3.4583330154418945,20142600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.199999809265137,45.5625,32.04999923706055,75.73999786376953,19100.0,7.81,7.78,7.81,7.59,0.0,0.0,0.0,0.0,0.45833301544189453,-42052800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0799999237060547,-0.609375,0.0,0.0,0.0,0.34999999999999964,0.7000000000000002,0.34999999999999964,1.2000000000000002,0.0,0.0,0.0,0.0,1
1995-03-31 00:00:00+00:00,0.0590016181011256,0.94212302102258,0.0927967290936921,0.3984824699110413,0.1758174402183926,0.789454105830931,0.257246729150742,0.1216424174594292,4.1666669845581055,22902600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.369999885559082,50.109375,32.04999923706055,75.73999786376953,19100.0,7.2,7.05,7.2,6.78,0.0,0.0,0.0,0.0,0.7083339691162109,2760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700000762939453,4.546875,0.0,0.0,0.0,-0.6099999999999994,-0.7300000000000004,-0.6099999999999994,-0.8099999999999996,0.0,0.0,0.0,0.0,0
1995-06-30 00:00:00+00:00,-0.014449897657003,-0.3563636363636364,0.0172212922625497,-0.3545250106363581,0.0269961028820917,-0.3819592628516004,0.0992718851041566,-0.3611325559710845,3.9583330154418945,20286600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.380000114440918,54.40625,32.04999923706055,75.73999786376953,19100.0,6.17,5.93,6.17,5.72,0.0,0.0,0.0,0.0,-0.20833396911621094,-2616000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.989999771118164,4.296875,0.0,0.0,0.0,-1.0300000000000002,-1.12,-1.0300000000000002,-1.0600000000000005,0.0,0.0,0.0,0.0,1
1995-09-30 00:00:00+00:00,0.0238013413754042,0.0661561369921292,0.0255583888127418,0.7860557934561178,0.0548138972357477,0.9291969163984732,0.1122122522069299,1.213387145249238,4.4166669845581055,30752400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.739999771118164,58.484375,32.04999923706055,75.73999786376953,19100.0,6.2,6.0,6.2,5.81,0.0,0.0,0.0,0.0,0.45833396911621094,10465800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.359999656677246,4.078125,0.0,0.0,0.0,0.03000000000000025,0.07000000000000028,0.03000000000000025,0.08999999999999986,0.0,0.0,0.0,0.0,1
1995-12-31 00:00:00+00:00,0.0043175126699894,-0.3895348837209302,0.0354745925215724,-0.6120544248285168,0.0455547675253754,-0.5529479519113094,0.0801350058880345,-0.525243876334057,4.5,31077000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.520000457763672,61.484375,32.04999923706055,75.73999786376953,19100.0,5.71,5.51,5.71,5.32,0.0,0.0,0.0,0.0,0.08333301544189453,324600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2199993133544922,3.0,0.0,0.0,0.0,-0.4900000000000002,-0.4900000000000002,-0.4900000000000002,-0.4899999999999993,0.0,0.0,0.0,0.0,1
