,date,ticker,value
86,2021-05-01,MIDU,456
87,2021-05-01,TECL,2151
88,2021-05-01,DFS,10135
89,2021-05-01,DIS,5501
90,2021-05-01,DOCU,1520
91,2021-05-01,DG,1895
92,2021-05-01,DLTR,10293
93,2021-05-01,D,15036
94,2021-05-01,DUK,38923
95,2021-05-01,EVN,13458
96,2021-05-01,EHTH,7052
97,2021-05-01,EBS,2424
98,2021-05-01,EQIX,1035
99,2021-05-01,SIXG,150
100,2021-05-01,DEEP,1226
101,2021-05-01,JETS,9147
102,2021-05-01,ETSY,1671
103,2021-05-01,META,2832
104,2021-05-01,FAST,4275
105,2021-05-01,FDX,2852
106,2021-05-01,FDRR,112
107,2021-05-01,FDVV,277
108,2021-05-01,FDIS,33168
109,2021-05-01,FENY,4450
110,2021-05-01,FTEC,2650
111,2021-05-01,FUTY,583
112,2021-05-01,FCOR,1075
113,2021-05-01,FLDR,2950
114,2021-05-01,FLTB,115
115,2021-05-01,FDNI,4643
116,2021-05-01,FCVT,16729
117,2021-05-01,FPX,132372
118,2021-05-01,FTCS,10070
119,2021-05-01,FDN,1290
120,2021-05-01,SKYY,33165
121,2021-05-01,FXD,4950
122,2021-05-01,FXN,9330
123,2021-05-01,FXO,2667
124,2021-05-01,FXH,221
125,2021-05-01,FXR,1401
126,2021-05-01,FXZ,1862
127,2021-05-01,CIBR,535
128,2021-05-01,FXL,90615
129,2021-05-01,FXU,767
130,2021-05-01,QCLN,1737
131,2021-05-01,FCG,55
132,2021-05-01,FBT,536
133,2021-05-01,FTHI,418
134,2021-05-01,FV,657
135,2021-05-01,TDIV,3541
136,2021-05-01,RDVY,331054
137,2021-05-01,FTHY,22359
138,2021-05-01,FTC,164104
139,2021-05-01,FTA,3733
140,2021-05-01,LMBS,7392
141,2021-05-01,FNX,4422
142,2021-05-01,FVD,7803
143,2021-05-01,LAB,55378
144,2021-05-01,FONR,45794
145,2021-05-01,F,8519
146,2021-05-01,INCE,129980
147,2021-05-01,GME,106142
