date,10year,5year,3year,2year
1953-04-01,2.83,2.62,2.83,
1953-05-01,3.05,2.87,3.05,
1953-06-01,3.11,2.94,3.11,
1953-07-01,2.93,2.75,2.93,
1953-08-01,2.95,2.80,2.95,
1953-09-01,2.87,2.71,2.87,
1953-10-01,2.66,2.43,2.66,
1953-11-01,2.68,2.42,2.68,
1953-12-01,2.59,2.32,2.59,
1954-01-01,2.48,2.17,2.48,
1954-02-01,2.47,2.04,2.47,
1954-03-01,2.37,1.93,2.37,
1954-04-01,2.29,1.87,2.29,
1954-05-01,2.37,1.92,2.37,
1954-06-01,2.38,1.92,2.38,
1954-07-01,2.30,1.85,2.30,
1954-08-01,2.36,1.90,2.36,
1954-09-01,2.38,1.96,2.38,
1954-10-01,2.43,2.02,2.43,
1954-11-01,2.48,2.09,2.48,
1954-12-01,2.51,2.16,2.51,
1955-01-01,2.61,2.32,2.61,
1955-02-01,2.65,2.38,2.65,
1955-03-01,2.68,2.48,2.68,
1955-04-01,2.75,2.55,2.75,
1955-05-01,2.76,2.56,2.76,
1955-06-01,2.78,2.59,2.78,
1955-07-01,2.90,2.72,2.90,
1955-08-01,2.97,2.86,2.97,
1955-09-01,2.97,2.85,2.97,
1955-10-01,2.88,2.76,2.88,
1955-11-01,2.89,2.81,2.89,
1955-12-01,2.96,2.93,2.96,
1956-01-01,2.90,2.84,2.90,
1956-02-01,2.84,2.74,2.84,
1956-03-01,2.96,2.93,2.96,
1956-04-01,3.18,3.20,3.18,
1956-05-01,3.07,3.08,3.07,
1956-06-01,3.00,2.97,3.00,
1956-07-01,3.11,3.12,3.11,
1956-08-01,3.33,3.41,3.33,
1956-09-01,3.38,3.47,3.38,
1956-10-01,3.34,3.40,3.34,
1956-11-01,3.49,3.56,3.49,
1956-12-01,3.59,3.70,3.59,
1957-01-01,3.46,3.47,3.46,
1957-02-01,3.34,3.39,3.34,
1957-03-01,3.41,3.46,3.41,
1957-04-01,3.48,3.53,3.48,
1957-05-01,3.60,3.64,3.60,
1957-06-01,3.80,3.83,3.80,
1957-07-01,3.93,4.00,3.93,
1957-08-01,3.93,4.00,3.93,
1957-09-01,3.92,4.03,3.92,
1957-10-01,3.97,4.08,3.97,
1957-11-01,3.72,3.72,3.72,
1957-12-01,3.21,3.08,3.21,
1958-01-01,3.09,2.88,3.09,
1958-02-01,3.05,2.78,3.05,
1958-03-01,2.98,2.64,2.98,
1958-04-01,2.88,2.46,2.88,
1958-05-01,2.92,2.41,2.92,
1958-06-01,2.97,2.46,2.97,
1958-07-01,3.20,2.77,3.20,
1958-08-01,3.54,3.29,3.54,
1958-09-01,3.76,3.69,3.76,
1958-10-01,3.80,3.78,3.80,
1958-11-01,3.74,3.70,3.74,
1958-12-01,3.86,3.82,3.86,
1959-01-01,4.02,4.01,4.02,
1959-02-01,3.96,3.96,3.96,
1959-03-01,3.99,3.99,3.99,
1959-04-01,4.12,4.12,4.12,
1959-05-01,4.31,4.35,4.31,
1959-06-01,4.34,4.50,4.34,
1959-07-01,4.40,4.58,4.40,
1959-08-01,4.43,4.57,4.43,
1959-09-01,4.68,4.90,4.68,
1959-10-01,4.53,4.72,4.53,
1959-11-01,4.53,4.75,4.53,
1959-12-01,4.69,5.01,4.69,
1960-01-01,4.72,4.92,4.72,
1960-02-01,4.49,4.69,4.49,
1960-03-01,4.25,4.31,4.25,
1960-04-01,4.28,4.29,4.28,
1960-05-01,4.35,4.49,4.35,
1960-06-01,4.15,4.12,4.15,
1960-07-01,3.90,3.79,3.90,
1960-08-01,3.80,3.62,3.80,
1960-09-01,3.80,3.61,3.80,
1960-10-01,3.89,3.76,3.89,
1960-11-01,3.93,3.81,3.93,
1960-12-01,3.84,3.67,3.84,
1961-01-01,3.84,3.67,3.84,
1961-02-01,3.78,3.66,3.78,
1961-03-01,3.74,3.60,3.74,
1961-04-01,3.78,3.57,3.78,
1961-05-01,3.71,3.47,3.71,
1961-06-01,3.88,3.81,3.88,
1961-07-01,3.92,3.84,3.92,
1961-08-01,4.04,3.96,4.04,
1961-09-01,3.98,3.90,3.98,
1961-10-01,3.92,3.80,3.92,
1961-11-01,3.94,3.82,3.94,
1961-12-01,4.06,3.91,4.06,
1962-01-01,4.08,3.94,4.08,
1962-02-01,4.04,3.89,4.04,
1962-03-01,3.93,3.68,3.93,
1962-04-01,3.84,3.60,3.84,
1962-05-01,3.87,3.66,3.87,
1962-06-01,3.91,3.64,3.91,
