date,10year,5year,3year,2year
1962-07-01,4.01,3.80,4.01,
1962-08-01,3.98,3.71,3.98,
1962-09-01,3.98,3.70,3.98,
1962-10-01,3.93,3.64,3.93,
1962-11-01,3.92,3.60,3.92,
1962-12-01,3.86,3.56,3.86,
1963-01-01,3.83,3.58,3.83,
1963-02-01,3.92,3.66,3.92,
1963-03-01,3.93,3.68,3.93,
1963-04-01,3.97,3.74,3.97,
1963-05-01,3.93,3.72,3.93,
1963-06-01,3.99,3.81,3.99,
1963-07-01,4.02,3.89,4.02,
1963-08-01,4.00,3.89,4.00,
1963-09-01,4.08,3.96,4.08,
1963-10-01,4.11,3.97,4.11,
1963-11-01,4.12,4.01,4.12,
1963-12-01,4.13,4.04,4.13,
1964-01-01,4.17,4.07,4.17,
1964-02-01,4.15,4.03,4.15,
1964-03-01,4.22,4.14,4.22,
1964-04-01,4.23,4.15,4.23,
1964-05-01,4.20,4.05,4.20,
1964-06-01,4.17,4.02,4.17,
1964-07-01,4.19,4.03,4.19,
1964-08-01,4.19,4.05,4.19,
1964-09-01,4.20,4.08,4.20,
1964-10-01,4.19,4.07,4.19,
1964-11-01,4.15,4.04,4.15,
1964-12-01,4.18,4.09,4.18,
1965-01-01,4.19,4.10,4.19,
1965-02-01,4.21,4.15,4.21,
1965-03-01,4.21,4.15,4.21,
1965-04-01,4.20,4.15,4.20,
1965-05-01,4.21,4.15,4.21,
1965-06-01,4.21,4.15,4.21,
1965-07-01,4.20,4.15,4.20,
1965-08-01,4.25,4.20,4.25,
1965-09-01,4.29,4.25,4.29,
1965-10-01,4.35,4.34,4.35,
1965-11-01,4.45,4.46,4.45,
1965-12-01,4.62,4.72,4.62,
1966-01-01,4.61,4.86,4.61,
1966-02-01,4.83,4.98,4.83,
1966-03-01,4.87,4.92,4.87,
1966-04-01,4.75,4.83,4.75,
1966-05-01,4.78,4.89,4.78,
1966-06-01,4.81,4.97,4.81,
1966-07-01,5.02,5.17,5.02,
1966-08-01,5.22,5.50,5.22,
1966-09-01,5.18,5.50,5.18,
1966-10-01,5.01,5.27,5.01,
1966-11-01,5.16,5.36,5.16,
1966-12-01,4.84,5.00,4.84,
1967-01-01,4.58,4.70,4.58,
1967-02-01,4.63,4.74,4.63,
1967-03-01,4.54,4.54,4.54,
1967-04-01,4.59,4.51,4.59,
1967-05-01,4.85,4.75,4.85,
1967-06-01,5.02,5.01,5.02,
1967-07-01,5.16,5.23,5.16,
1967-08-01,5.28,5.31,5.28,
1967-09-01,5.30,5.40,5.30,
1967-10-01,5.48,5.57,5.48,
1967-11-01,5.75,5.78,5.75,
1967-12-01,5.70,5.75,5.70,
1968-01-01,5.53,5.54,5.53,
1968-02-01,5.56,5.59,5.56,
1968-03-01,5.74,5.76,5.74,
1968-04-01,5.64,5.69,5.64,
1968-05-01,5.87,6.04,5.87,
1968-06-01,5.72,5.85,5.72,
1968-07-01,5.50,5.60,5.50,
1968-08-01,5.42,5.50,5.42,
1968-09-01,5.46,5.48,5.46,
1968-10-01,5.58,5.55,5.58,
1968-11-01,5.70,5.66,5.70,
1968-12-01,6.03,6.12,6.03,
1969-01-01,6.04,6.25,6.04,
1969-02-01,6.19,6.34,6.19,
1969-03-01,6.30,6.41,6.30,
1969-04-01,6.17,6.30,6.17,
1969-05-01,6.32,6.54,6.32,
1969-06-01,6.57,6.75,6.57,
1969-07-01,6.72,7.01,6.72,
1969-08-01,6.69,7.03,6.69,
1969-09-01,7.16,7.57,7.16,
1969-10-01,7.10,7.51,7.10,
1969-11-01,7.14,7.53,7.14,
1969-12-01,7.65,7.96,7.65,
1970-01-01,7.79,8.17,7.79,
1970-02-01,7.24,7.82,7.24,
1970-03-01,7.07,7.21,7.07,
1970-04-01,7.39,7.50,7.39,
1970-05-01,7.91,7.97,7.91,
1970-06-01,7.84,7.85,7.84,
1970-07-01,7.46,7.59,7.46,
1970-08-01,7.53,7.57,7.53,
1970-09-01,7.39,7.29,7.39,
1970-10-01,7.33,7.12,7.33,
1970-11-01,6.84,6.47,6.84,
1970-12-01,6.39,5.95,6.39,
1971-01-01,6.24,5.89,6.24,
1971-02-01,6.11,5.56,6.11,
1971-03-01,5.70,5.00,5.70,
1971-04-01,5.83,5.65,5.83,
1971-05-01,6.39,6.28,6.39,
1971-06-01,6.52,6.53,6.52,
1971-07-01,6.73,6.85,6.73,
1971-08-01,6.58,6.55,6.58,
1971-09-01,6.14,6.14,6.14,
1971-10-01,5.93,5.93,5.93,
1971-11-01,5.81,5.78,5.81,
1971-12-01,5.93,5.69,5.93,
1972-01-01,5.95,5.59,5.95,
1972-02-01,6.08,5.69,6.08,
1972-03-01,6.07,5.87,6.07,
1972-04-01,6.19,6.17,6.19,
1972-05-01,6.13,5.85,6.13,
1972-06-01,6.11,5.91,6.11,
1972-07-01,6.11,5.97,6.11,
1972-08-01,6.21,6.02,6.21,
1972-09-01,6.55,6.25,6.55,
1972-10-01,6.48,6.18,6.48,
1972-11-01,6.28,6.12,6.28,
1972-12-01,6.36,6.16,6.36,
1973-01-01,6.46,6.34,6.46,
1973-02-01,6.64,6.60,6.64,
1973-03-01,6.71,6.80,6.71,
1973-04-01,6.67,6.67,6.67,
1973-05-01,6.85,6.80,6.85,
1973-06-01,6.90,6.69,6.90,
1973-07-01,7.13,7.33,7.13,
1973-08-01,7.40,7.63,7.40,
1973-09-01,7.09,7.05,7.09,
1973-10-01,6.79,6.77,6.79,
1973-11-01,6.73,6.92,6.73,
1973-12-01,6.74,6.80,6.74,
1974-01-01,6.99,6.95,6.99,
1974-02-01,6.96,6.82,6.96,
1974-03-01,7.21,7.31,7.21,
1974-04-01,7.51,7.92,7.51,
1974-05-01,7.58,8.18,7.58,
1974-06-01,7.54,8.10,7.54,
1974-07-01,7.81,8.38,7.81,
1974-08-01,8.04,8.63,8.04,
1974-09-01,8.04,8.37,8.04,
1974-10-01,7.90,7.97,7.90,
1974-11-01,7.68,7.68,7.68,
1974-12-01,7.43,7.31,7.43,
1975-01-01,7.50,7.41,7.50,
1975-02-01,7.39,7.11,7.39,
1975-03-01,7.73,7.30,7.73,
1975-04-01,8.23,7.99,8.23,
1975-05-01,8.06,7.72,8.06,
1975-06-01,7.86,7.51,7.86,
1975-07-01,8.06,7.92,8.06,
1975-08-01,8.40,8.33,8.40,
1975-09-01,8.43,8.37,8.43,
1975-10-01,8.14,7.97,8.14,
1975-11-01,8.05,7.80,8.05,
1975-12-01,8.00,7.76,8.00,
1976-01-01,7.74,7.46,7.74,
1976-02-01,7.79,7.45,7.79,
1976-03-01,7.73,7.49,7.73,
1976-04-01,7.56,7.25,7.56,
1976-05-01,7.90,7.59,7.90,
1976-06-01,7.86,7.61,7.86,7.06
1976-07-01,7.83,7.49,7.83,6.85
1976-08-01,7.77,7.31,7.77,6.63
1976-09-01,7.59,7.13,7.59,6.42
1976-10-01,7.41,6.75,7.41,5.98
1976-11-01,7.29,6.52,7.29,5.81
1976-12-01,6.87,6.10,6.87,5.38
1977-01-01,7.21,6.58,7.21,5.90
1977-02-01,7.39,6.83,7.39,6.09
1977-03-01,7.46,6.93,7.46,6.09
1977-04-01,7.37,6.79,7.37,5.96
1977-05-01,7.46,6.94,7.46,6.25
1977-06-01,7.28,6.76,7.28,6.13
1977-07-01,7.33,6.84,7.33,6.27
1977-08-01,7.40,7.03,7.40,6.61
1977-09-01,7.34,7.04,7.34,6.71
1977-10-01,7.52,7.32,7.52,7.11
1977-11-01,7.58,7.34,7.58,7.14
1977-12-01,7.69,7.48,7.69,7.18
1978-01-01,7.96,7.77,7.96,7.49
1978-02-01,8.03,7.83,8.03,7.57
1978-03-01,8.04,7.86,8.04,7.58
1978-04-01,8.15,7.98,8.15,7.74
1978-05-01,8.35,8.18,8.35,8.01
1978-06-01,8.46,8.36,8.46,8.24
1978-07-01,8.64,8.54,8.64,8.49
1978-08-01,8.41,8.33,8.41,8.37
1978-09-01,8.42,8.43,8.42,8.57
1978-10-01,8.64,8.61,8.64,8.85
1978-11-01,8.81,8.84,8.81,9.42
1978-12-01,9.01,9.08,9.01,9.72
1979-01-01,9.10,9.20,9.10,9.86
1979-02-01,9.10,9.13,9.10,9.72
1979-03-01,9.12,9.20,9.12,9.79
1979-04-01,9.18,9.25,9.18,9.78
1979-05-01,9.25,9.24,9.25,9.78
1979-06-01,8.91,8.85,8.91,9.22
1979-07-01,8.95,8.90,8.95,9.14
1979-08-01,9.03,9.06,9.03,9.46
1979-09-01,9.33,9.41,9.33,10.06
1979-10-01,10.30,10.63,10.30,11.49
1979-11-01,10.65,10.93,10.65,11.81
1979-12-01,10.39,10.42,10.39,11.39
1980-01-01,10.80,10.74,10.80,11.50
1980-02-01,12.41,12.60,12.41,13.42
1980-03-01,12.75,13.47,12.75,14.88
1980-04-01,11.47,11.84,11.47,12.50
1980-05-01,10.18,9.95,10.18,9.45
1980-06-01,9.78,9.21,9.78,8.73
1980-07-01,10.25,9.53,10.25,9.03
1980-08-01,11.10,10.84,11.10,10.53
1980-09-01,11.51,11.62,11.51,11.57
1980-10-01,11.75,11.86,11.75,12.09
1980-11-01,12.68,12.83,12.68,13.51
1980-12-01,12.84,13.25,12.84,14.08
1981-01-01,12.57,12.77,12.57,13.26
1981-02-01,13.19,13.41,13.19,13.92
1981-03-01,13.12,13.41,13.12,13.57
1981-04-01,13.68,13.99,13.68,14.15
1981-05-01,14.10,14.63,14.10,15.46
1981-06-01,13.47,13.95,13.47,14.51
1981-07-01,14.28,14.79,14.28,15.35
1981-08-01,14.94,15.56,14.94,16.28
1981-09-01,15.32,15.93,15.32,16.46
1981-10-01,15.15,15.41,15.15,15.54
1981-11-01,13.39,13.38,13.39,12.88
1981-12-01,13.72,13.60,13.72,13.29
1982-01-01,14.59,14.65,14.59,14.57
1982-02-01,14.43,14.54,14.43,14.82
1982-03-01,13.86,13.98,13.86,14.19
1982-04-01,13.87,14.00,13.87,14.20
1982-05-01,13.62,13.75,13.62,13.78
1982-06-01,14.30,14.43,14.30,14.47
1982-07-01,13.95,14.07,13.95,13.80
1982-08-01,13.06,13.00,13.06,12.32
1982-09-01,12.34,12.25,12.34,11.78
1982-10-01,10.91,10.80,10.91,10.19
1982-11-01,10.55,10.38,10.55,9.80
1982-12-01,10.54,10.22,10.54,9.66
1983-01-01,10.46,10.03,10.46,9.33
1983-02-01,10.72,10.26,10.72,9.64
1983-03-01,10.51,10.08,10.51,9.66
1983-04-01,10.40,10.02,10.40,9.57
1983-05-01,10.38,10.03,10.38,9.49
1983-06-01,10.85,10.63,10.85,10.18
1983-07-01,11.38,11.21,11.38,10.69
1983-08-01,11.85,11.63,11.85,11.07
1983-09-01,11.65,11.43,11.65,10.79
1983-10-01,11.54,11.28,11.54,10.57
1983-11-01,11.69,11.41,11.69,10.66
1983-12-01,11.83,11.54,11.83,10.84
1984-01-01,11.67,11.37,11.67,10.64
1984-02-01,11.84,11.54,11.84,10.79
1984-03-01,12.32,12.02,12.32,11.31
1984-04-01,12.63,12.37,12.63,11.69
1984-05-01,13.41,13.17,13.41,12.47
1984-06-01,13.56,13.48,13.56,12.91
1984-07-01,13.36,13.27,13.36,12.88
1984-08-01,12.72,12.68,12.72,12.43
1984-09-01,12.52,12.53,12.52,12.20
1984-10-01,12.16,12.06,12.16,11.60
1984-11-01,11.57,11.33,11.57,10.65
1984-12-01,11.50,11.07,11.50,10.18
1985-01-01,11.38,10.93,11.38,9.93
1985-02-01,11.51,11.13,11.51,10.17
1985-03-01,11.86,11.52,11.86,10.71
1985-04-01,11.43,11.01,11.43,10.09
1985-05-01,10.85,10.34,10.85,9.39
1985-06-01,10.16,9.60,10.16,8.69
1985-07-01,10.31,9.70,10.31,8.77
1985-08-01,10.33,9.81,10.33,8.94
1985-09-01,10.37,9.81,10.37,8.98
1985-10-01,10.24,9.69,10.24,8.86
1985-11-01,9.78,9.28,9.78,8.58
1985-12-01,9.26,8.73,9.26,8.15
1986-01-01,9.19,8.68,9.19,8.14
1986-02-01,8.70,8.34,8.70,7.97
1986-03-01,7.78,7.46,7.78,7.21
1986-04-01,7.30,7.05,7.30,6.70
1986-05-01,7.71,7.52,7.71,7.07
1986-06-01,7.80,7.64,7.80,7.18
1986-07-01,7.30,7.06,7.30,6.67
1986-08-01,7.17,6.80,7.17,6.33
1986-09-01,7.45,6.92,7.45,6.35
1986-10-01,7.43,6.83,7.43,6.28
1986-11-01,7.25,6.76,7.25,6.28
1986-12-01,7.11,6.67,7.11,6.27
1987-01-01,7.08,6.64,7.08,6.23
1987-02-01,7.25,6.79,7.25,6.40
1987-03-01,7.25,6.79,7.25,6.42
1987-04-01,8.02,7.57,8.02,7.02
1987-05-01,8.61,8.26,8.61,7.76
1987-06-01,8.40,8.02,8.40,7.57
1987-07-01,8.45,8.01,8.45,7.44
1987-08-01,8.76,8.32,8.76,7.75
1987-09-01,9.42,8.94,9.42,8.34
1987-10-01,9.52,9.08,9.52,8.40
1987-11-01,8.86,8.35,8.86,7.69
1987-12-01,8.99,8.45,8.99,7.86
1988-01-01,8.67,8.18,8.67,7.63
1988-02-01,8.21,7.71,8.21,7.18
1988-03-01,8.37,7.83,8.37,7.27
1988-04-01,8.72,8.19,8.72,7.59
1988-05-01,9.09,8.58,9.09,8.00
1988-06-01,8.92,8.49,8.92,8.03
1988-07-01,9.06,8.66,9.06,8.28
1988-08-01,9.26,8.94,9.26,8.63
1988-09-01,8.98,8.69,8.98,8.46
1988-10-01,8.80,8.51,8.80,8.35
1988-11-01,8.96,8.79,8.96,8.67
1988-12-01,9.11,9.09,9.11,9.09
1989-01-01,9.09,9.15,9.09,9.18
1989-02-01,9.17,9.27,9.17,9.37
1989-03-01,9.36,9.51,9.36,9.68
1989-04-01,9.18,9.30,9.18,9.45
1989-05-01,8.86,8.91,8.86,9.02
1989-06-01,8.28,8.29,8.28,8.41
1989-07-01,8.02,7.83,8.02,7.82
1989-08-01,8.11,8.09,8.11,8.14
1989-09-01,8.19,8.17,8.19,8.28
1989-10-01,8.01,7.97,8.01,7.98
1989-11-01,7.87,7.81,7.87,7.80
1989-12-01,7.84,7.75,7.84,7.78
1990-01-01,8.21,8.12,8.21,8.09
1990-02-01,8.47,8.42,8.47,8.37
1990-03-01,8.59,8.60,8.59,8.63
1990-04-01,8.79,8.77,8.79,8.72
1990-05-01,8.76,8.74,8.76,8.64
1990-06-01,8.48,8.43,8.48,8.35
1990-07-01,8.47,8.33,8.47,8.16
1990-08-01,8.75,8.44,8.75,8.06
1990-09-01,8.89,8.51,8.89,8.08
1990-10-01,8.72,8.33,8.72,7.88
1990-11-01,8.39,8.02,8.39,7.60
1990-12-01,8.08,7.73,8.08,7.31
1991-01-01,8.09,7.70,8.09,7.13
1991-02-01,7.85,7.47,7.85,6.87
1991-03-01,8.11,7.77,8.11,7.10
1991-04-01,8.04,7.70,8.04,6.95
1991-05-01,8.07,7.70,8.07,6.78
1991-06-01,8.28,7.94,8.28,6.96
1991-07-01,8.27,7.91,8.27,6.92
1991-08-01,7.90,7.43,7.90,6.43
1991-09-01,7.65,7.14,7.65,6.18
1991-10-01,7.53,6.87,7.53,5.91
1991-11-01,7.42,6.62,7.42,5.56
1991-12-01,7.09,6.19,7.09,5.03
1992-01-01,7.03,6.24,7.03,4.96
1992-02-01,7.34,6.58,7.34,5.21
1992-03-01,7.54,6.95,7.54,5.69
1992-04-01,7.48,6.78,7.48,5.34
1992-05-01,7.39,6.69,7.39,5.23
1992-06-01,7.26,6.48,7.26,5.05
1992-07-01,6.84,5.84,6.84,4.36
1992-08-01,6.59,5.60,6.59,4.19
1992-09-01,6.42,5.38,6.42,3.89
1992-10-01,6.59,5.60,6.59,4.08
1992-11-01,6.87,6.04,6.87,4.58
1992-12-01,6.77,6.08,6.77,4.67
1993-01-01,6.60,5.83,6.60,4.39
1993-02-01,6.26,5.43,6.26,4.10
1993-03-01,5.98,5.19,5.98,3.95
1993-04-01,5.97,5.13,5.97,3.84
1993-05-01,6.04,5.20,6.04,3.98
1993-06-01,5.96,5.22,5.96,4.16
1993-07-01,5.81,5.09,5.81,4.07
1993-08-01,5.68,5.03,5.68,4.00
1993-09-01,5.36,4.73,5.36,3.85
1993-10-01,5.33,4.71,5.33,3.87
1993-11-01,5.72,5.06,5.72,4.16
1993-12-01,5.77,5.15,5.77,4.21
1994-01-01,5.75,5.09,5.75,4.14
1994-02-01,5.97,5.40,5.97,4.47
1994-03-01,6.48,5.94,6.48,5.00
1994-04-01,6.97,6.52,6.97,5.55
1994-05-01,7.18,6.78,7.18,5.97
1994-06-01,7.10,6.70,7.10,5.93
1994-07-01,7.30,6.91,7.30,6.13
1994-08-01,7.24,6.88,7.24,6.18
1994-09-01,7.46,7.08,7.46,6.39
1994-10-01,7.74,7.40,7.74,6.73
1994-11-01,7.96,7.72,7.96,7.15
1994-12-01,7.81,7.78,7.81,7.59
1995-01-01,7.78,7.76,7.78,7.51
1995-02-01,7.47,7.37,7.47,7.11
1995-03-01,7.20,7.05,7.20,6.78
1995-04-01,7.06,6.86,7.06,6.57
1995-05-01,6.63,6.41,6.63,6.17
1995-06-01,6.17,5.93,6.17,5.72
1995-07-01,6.28,6.01,6.28,5.78
1995-08-01,6.49,6.24,6.49,5.98
1995-09-01,6.20,6.00,6.20,5.81
1995-10-01,6.04,5.86,6.04,5.70
1995-11-01,5.93,5.69,5.93,5.48
1995-12-01,5.71,5.51,5.71,5.32
1996-01-01,5.65,5.36,5.65,5.11
1996-02-01,5.81,5.38,5.81,5.03
1996-03-01,6.27,5.97,6.27,5.66
1996-04-01,6.51,6.30,6.51,5.96
1996-05-01,6.74,6.48,6.74,6.10
1996-06-01,6.91,6.69,6.91,6.30
1996-07-01,6.87,6.64,6.87,6.27
1996-08-01,6.64,6.39,6.64,6.03
1996-09-01,6.83,6.60,6.83,6.23
1996-10-01,6.53,6.27,6.53,5.91
1996-11-01,6.20,5.97,6.20,5.70
1996-12-01,6.30,6.07,6.30,5.78
1997-01-01,6.58,6.33,6.58,6.01
1997-02-01,6.42,6.20,6.42,5.90
1997-03-01,6.69,6.54,6.69,6.22
1997-04-01,6.89,6.76,6.89,6.45
1997-05-01,6.71,6.57,6.71,6.28
1997-06-01,6.49,6.38,6.49,6.09
1997-07-01,6.22,6.12,6.22,5.89
1997-08-01,6.30,6.16,6.30,5.94
1997-09-01,6.21,6.11,6.21,5.88
1997-10-01,6.03,5.93,6.03,5.77
1997-11-01,5.88,5.80,5.88,5.71
1997-12-01,5.81,5.77,5.81,5.72
1998-01-01,5.54,5.42,5.54,5.36
1998-02-01,5.57,5.49,5.57,5.42
1998-03-01,5.65,5.61,5.65,5.56
1998-04-01,5.64,5.61,5.64,5.56
1998-05-01,5.65,5.63,5.65,5.59
1998-06-01,5.50,5.52,5.50,5.52
1998-07-01,5.46,5.46,5.46,5.46
1998-08-01,5.34,5.27,5.34,5.27
1998-09-01,4.81,4.62,4.81,4.67
1998-10-01,4.53,4.18,4.53,4.09
1998-11-01,4.83,4.54,4.83,4.54
1998-12-01,4.65,4.45,4.65,4.51
1999-01-01,4.72,4.60,4.72,4.62
1999-02-01,5.00,4.91,5.00,4.88
1999-03-01,5.23,5.14,5.23,5.05
1999-04-01,5.18,5.08,5.18,4.98
1999-05-01,5.54,5.44,5.54,5.25
1999-06-01,5.90,5.81,5.90,5.62
1999-07-01,5.79,5.68,5.79,5.55
1999-08-01,5.94,5.84,5.94,5.68
1999-09-01,5.92,5.80,5.92,5.66
1999-10-01,6.11,6.03,6.11,5.86
1999-11-01,6.03,5.97,6.03,5.86
1999-12-01,6.28,6.19,6.28,6.10
2000-01-01,6.66,6.58,6.66,6.44
2000-02-01,6.52,6.68,6.52,6.61
2000-03-01,6.26,6.50,6.26,6.53
2000-04-01,5.99,6.26,5.99,6.40
2000-05-01,6.44,6.69,6.44,6.81
2000-06-01,6.10,6.30,6.10,6.48
2000-07-01,6.05,6.18,6.05,6.34
2000-08-01,5.83,6.06,5.83,6.23
2000-09-01,5.80,5.93,5.80,6.08
2000-10-01,5.74,5.78,5.74,5.91
2000-11-01,5.72,5.70,5.72,5.88
2000-12-01,5.24,5.17,5.24,5.35
2001-01-01,5.16,4.86,5.16,4.76
2001-02-01,5.10,4.89,5.10,4.66
2001-03-01,4.89,4.64,4.89,4.34
2001-04-01,5.14,4.76,5.14,4.23
2001-05-01,5.39,4.93,5.39,4.26
2001-06-01,5.28,4.81,5.28,4.08
2001-07-01,5.24,4.76,5.24,4.04
2001-08-01,4.97,4.57,4.97,3.76
2001-09-01,4.73,4.12,4.73,3.12
2001-10-01,4.57,3.91,4.57,2.73
2001-11-01,4.65,3.97,4.65,2.78
2001-12-01,5.09,4.39,5.09,3.11
2002-01-01,5.04,4.34,5.04,3.03
2002-02-01,4.91,4.30,4.91,3.02
2002-03-01,5.28,4.74,5.28,3.56
2002-04-01,5.21,4.65,5.21,3.42
2002-05-01,5.16,4.49,5.16,3.26
2002-06-01,4.93,4.19,4.93,2.99
2002-07-01,4.65,3.81,4.65,2.56
2002-08-01,4.26,3.29,4.26,2.13
2002-09-01,3.87,2.94,3.87,2.00
2002-10-01,3.94,2.95,3.94,1.91
2002-11-01,4.05,3.05,4.05,1.92
2002-12-01,4.03,3.03,4.03,1.84
2003-01-01,4.05,3.05,4.05,1.74
2003-02-01,3.90,2.90,3.90,1.63
2003-03-01,3.81,2.78,3.81,1.57
2003-04-01,3.96,2.93,3.96,1.62
2003-05-01,3.57,2.52,3.57,1.42
2003-06-01,3.33,2.27,3.33,1.23
2003-07-01,3.98,2.87,3.98,1.47
2003-08-01,4.45,3.37,4.45,1.86
2003-09-01,4.27,3.18,4.27,1.71
2003-10-01,4.29,3.19,4.29,1.75
2003-11-01,4.30,3.29,4.30,1.93
2003-12-01,4.27,3.27,4.27,1.91
2004-01-01,4.15,3.12,4.15,1.76
2004-02-01,4.08,3.07,4.08,1.74
2004-03-01,3.83,2.79,3.83,1.58
2004-04-01,4.35,3.39,4.35,2.07
2004-05-01,4.72,3.85,4.72,2.53
2004-06-01,4.73,3.93,4.73,2.76
2004-07-01,4.50,3.69,4.50,2.64
2004-08-01,4.28,3.47,4.28,2.51
2004-09-01,4.13,3.36,4.13,2.53
2004-10-01,4.10,3.35,4.10,2.58
2004-11-01,4.19,3.53,4.19,2.85
2004-12-01,4.23,3.60,4.23,3.01
2005-01-01,4.22,3.71,4.22,3.22
2005-02-01,4.17,3.77,4.17,3.38
2005-03-01,4.50,4.17,4.50,3.73
2005-04-01,4.34,4.00,4.34,3.65
2005-05-01,4.14,3.85,4.14,3.64
2005-06-01,4.00,3.77,4.00,3.64
2005-07-01,4.18,3.98,4.18,3.87
2005-08-01,4.26,4.12,4.26,4.04
2005-09-01,4.20,4.01,4.20,3.95
2005-10-01,4.46,4.33,4.46,4.27
2005-11-01,4.54,4.45,4.54,4.42
2005-12-01,4.47,4.39,4.47,4.40
2006-01-01,4.42,4.35,4.42,4.40
2006-02-01,4.57,4.57,4.57,4.67
2006-03-01,4.72,4.72,4.72,4.73
2006-04-01,4.99,4.90,4.99,4.89
2006-05-01,5.11,5.00,5.11,4.97
2006-06-01,5.11,5.07,5.11,5.12
2006-07-01,5.09,5.04,5.09,5.12
2006-08-01,4.88,4.82,4.88,4.90
2006-09-01,4.72,4.67,4.72,4.77
2006-10-01,4.73,4.69,4.73,4.80
