,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1995-04-06,-0.007874112768563772,-0.08854566638383678,-0.008264577630605898,-0.4770623474628073,0.02055265750567972,-0.5019937259024202,0.013133077189373886,-0.7238222808861459,0.0,0.041666786720860216,0.1527779861477001,0.14583365416781624,AIV,2.3996589183807373,93763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8100004196167,50.75,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-07,-0.004935923261153802,1.3133022457445287,-0.0080368449069706,0.6032751208878246,0.019669411518343758,0.5282493273717678,0.013291502683238391,0.023648667409483543,0.013889061380546464,0.041666786720860216,0.15972231812758375,0.13194459278727,AIV,2.3996589183807373,288791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.850000381469728,50.703125,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-10,0.009881488052380363,-0.3752035521082379,0.005278920003460822,-0.5494969293402553,0.03293769783683979,-0.5653119783882952,0.02748567351200585,-0.7073197166840984,0.0,0.013698405958592952,0.13698631345133339,0.12328751551614836,AIV,2.432987928390503,81012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.789999961853027,50.796875,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-11,0.01579463806837983,0.3444057681670468,0.011467834138564316,-0.024960606269467236,0.03911396540748944,-0.05065116260855225,0.034563579768625,-0.35307861254785494,0.0,0.006802610519062391,0.12925183839541932,0.12244922787635715,AIV,2.4496519565582275,177775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.729999542236328,50.625,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-12,0.019684945066116184,0.15558732335114747,0.017648250600293527,-0.0690657269192103,0.04519755008578354,-0.09253187197821101,0.041601312858997826,-0.38172565622981863,-0.006756647676504524,-0.006756647676504524,0.12162188158533649,0.12162188158533649,AIV,2.466315984725952,169524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.039999961853027,50.796875,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-13,-0.001966367513182235,1.5364002203663774,-0.0032078956564467282,1.553685292104455,0.02320856141152751,1.5914512023286966,0.02060782634574217,0.8158283585659873,0.013792876167129986,0.013792876167129986,0.13103419831694696,0.14482746916391132,AIV,2.4163239002227783,496571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.479999542236328,51.078125,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-17,0.001960864595465838,-0.4182003193653648,0.0032066489811638133,-0.3808771233913385,0.02913538042957213,-0.3751639117388191,0.027726759640034963,-0.5663438482135776,0.006849202979296587,0.006849202979296587,0.0958903116223706,0.13698631345133339,AIV,2.432987928390503,118517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.329999923706056,50.78125,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-18,-0.011764794827590613,-0.6092514906612633,-0.010309385602161023,-0.5890422395139531,0.01408437904140141,-0.5795525284270284,0.013806725056718813,-0.711318867789251,0.027777725340313975,0.020833393360430108,0.13888892476715364,0.14583365416781624,AIV,2.3996589183807373,78761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.960000038146973,50.609375,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-19,5.599665907517219e-08,-0.4522467110883308,0.002976928283251606,-0.5051925933325865,0.027043973048664394,-0.4892051806553835,0.027967961231214675,-0.6482897569687619,0.02054800091448139,0.006849202979296587,0.10273951460166697,0.14383551643062975,AIV,2.432987928390503,95264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.09000015258789,50.5625,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
1995-04-20,5.599665907517219e-08,-0.4468079933480614,0.0022883838654650227,-0.47332831401760933,0.025921346456705466,-0.4751237184540818,0.028088605639112307,-0.6386206778984529,0.013698405958592952,0.013698405958592952,0.08904120663722215,0.13698631345133339,AIV,2.432987928390503,97514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.100000381469728,50.640625,32.04999923706055,75.73999786376953,19100.0,6.63,6.41,6.63,6.17
