TICKERS
ZTS
ZION
ZBRA
ZBH
YUM
XYL
XRAY
XOM
XEL
WYNN
WY
WTW
WST
WRK
WRB
WMT
WMB
WM
WHR
WFC
WELL
WEIYN
WEC
WDC
WBD
WBA
WAT
WAB
VZ
VTRS
VTR
VRTX
VRSN
VRSK
VNT
VMC
VLO
VICI
VFC
VB
URI
UPS
UNP
UNH
ULTA
UHS
UDR
UAL
TYL
TXT
TXN
TTWO
TT
TSN
TSLA
TSCO
TRV
TROW
TRMB
TRGP
TPR
TMUS
TMO
TJX
TGT
TFX
TFC
TER
TEL
TECH
TDY
TDG
TAP
T
SYY
SYK
SYF
SWKS
SWK
STZ
STX
STT
STLD
STE
SRE
SPGI
SPG
SO
SNPS
SNA
SLB
SJM
SIVB
SHW
SEE
SEDG
SCHW
SBUX
SBNY
SBAC
RTX
RSG
ROST
ROP
ROL
ROK
RMD
RL
RJF
RHI
RF
REGN
REG
RE
RCL
QRVO
QCOM
PYPL
PXD
PWR
PTC
PSX
PSA
PRU
PPL
PPG
POOL
PNW
PNR
PNC
PM
PLD
PKI
PKG
PHM
PH
PGR
PG
PFG
PFE
PEP
PEG
PEAK
PCG
PCAR
PAYX
PAYC
PARA
OXY
OTIS
ORLY
ORCL
ON
OMC
OKE
OGN
ODFL
O
NXPI
NWSA
NWS
NWL
NVR
NVDA
NUE
NTRS
NTAP
NSC
NRG
NOW
NOC
NKE
NI
NFLX
NEM
NEE
NDSN
NDAQ
NCLH
MU
MTD
MTCH
MTB
MSI
MSFT
MSCI
MS
MRO
MRNA
MRK
MPWR
MPC
MOS
MOH
MO
MNST
MMM
MMC
MLM
MKTX
MKC
MHK
MGM
META
MET
MDT
MDLZ
MCO
MCK
MCHP
MCD
MAS
MAR
MAA
MA
LYV
LYB
LW
LVS
LUV
LUMN
LRCX
LOW
LNT
LNC
LMT
LLY
LKQ
LIN
LHX
LH
LEN
LDOS
L
KR
KO
KMX
KMI
KMB
KLAC
KIM
KHC
KEYS
KEY
KDP
K
JPM
JNPR
JNJ
JKHY
JCI
JBHT
J
IVZ
ITW
IT
ISRG
IRM
IR
IQV
IPG
IP
INVH
INTU
INTC
INCY
ILMN
IFF
IEX
IDXX
ICE
IBM
HWM
HUM
HSY
HST
HSIC
HRL
HPQ
HPE
HON
HOLX
HLT
HII
HIG
HES
HD
HCA
HBAN
HAS
HAL
GWW
GS
GRMN
GPN
GPC
GOOGL
GOOG
GNRC
GM
GLW
GL
GIS
GILD
GEN
GEHC
GE
GD
FTV
FTNT
FSLR
FRT
FRC
FOXA
FOX
FMC
FLT
FITB
FISV
FIS
FFIV
FE
FDX
FDS
FCX
FAST
FANG
F
EXR
EXPE
EXPD
EXC
EW
EVRG
ETSY
ETR
ETN
ESS
ES
EQT
EQR
EQIX
EPAM
EOG
ENPH
EMR
EMN
ELV
EL
EIX
EFX
ED
ECL
EBAY
