Date,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2024-10-10,-0.0006167952520560209,-0.0824052333538416,0.03568552399926885,-0.13955925763634297,0.10696211105239073,-0.2817990795470962,0.0883665215114431,-0.26105149164023206,0.03899517070556002,0.0,0.0,0.0,ACN,361.0700073242187,2088000.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,9.26346222264456e-06,9.530310928646668e-05,0.75,0.75,20.93000030517578,576.1300048828125,75.8499984741211,79.4000015258789,59795.0,,,,
2024-10-11,-0.0013327898169735366,-0.26702772837274397,0.032883274155766765,-0.40338407695161727,0.10335698348872678,-0.504136700787912,0.08756407963956556,-0.49120585216575463,0.044685911053870875,0.0,0.0,0.0,ACN,360.739990234375,1436500.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,9.26346222264456e-06,9.530310928646668e-05,0.6,0.8,20.459999084472656,579.5800170898438,75.55999755859375,79.04000091552734,63305.0,,,,
2024-10-12,-0.0007400034294461178,-0.22791944041339388,0.031027405396014448,-0.39827924199520803,0.10065111049555824,-0.5018623570385229,0.08762127982426612,-0.4903196811467364,0.042385122134609654,0.0,0.0,0.0,ACN,360.739990234375,1436500.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,9.26346222264456e-06,9.530310928646668e-05,0.75,1.0,20.459999084472656,579.5800170898438,75.55999755859375,79.04000091552734,63305.0,,,,
2024-10-13,-0.0001465128946271116,-0.18440262795036094,0.029384747197500567,-0.3979278491375817,0.09803385758159032,-0.4997935877163218,0.08780658353281996,-0.4902558774737336,0.03063153132362073,0.0,0.0,0.0,ACN,360.739990234375,1436500.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,9.26346222264456e-06,9.530310928646668e-05,0.8,0.9,20.459999084472656,579.5800170898438,75.55999755859375,79.04000091552734,63305.0,,,,
2024-10-14,0.0074407670950840015,0.21050372834075426,0.038062306886954965,-0.06806517692926127,0.10714779523838805,-0.2136479902982318,0.09960022718182632,-0.20032761032484414,0.016538668892904118,0.0,0.0,0.0,ACN,364.6000061035156,2256500.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,9.26346222264456e-06,9.530310928646668e-05,0.8,0.9,19.700000762939453,584.3200073242188,73.83000183105469,77.45999908447266,66145.0,,,,
2024-10-15,0.01534056950176979,0.515146855297555,0.04675860170305816,0.19863425685000488,0.11635279242276138,0.033256495454783826,0.11187610547534209,0.04512549964240044,-0.012016472174295023,0.0,0.0,0.0,ACN,368.6600036621094,2955900.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,0.0015101349485096,0.0006591163038252,0.8,1.0,20.63999938964844,579.780029296875,70.58000183105469,74.25,67220.0,,,,
2024-10-16,0.02236732861821357,0.07684066294476916,0.05394290356064994,-0.15031600982247093,0.12385318999524347,-0.25928799812836306,0.1225914992578385,-0.2509165244116676,-0.03078499347773489,0.0,0.0,0.0,ACN,372.260009765625,2110700.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,0.0015101349485096,0.0006591163038252,0.4333333333333333,0.6666666666666666,19.579999923706055,582.2999877929688,70.38999938964844,74.22000122070312,67925.0,,,,
2024-10-17,0.02464404384722359,-0.014121644078437148,0.05938065390594462,-0.23493664927207517,0.12922800544868607,-0.32803238205690116,0.13114548862342224,-0.3224099119773675,-0.03686521870524617,0.0,0.0,0.0,ACN,375.1499938964844,1906900.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,0.0015101349485096,0.0002010514393507,0.5,0.3,19.11000061035156,582.3499755859375,70.66999816894531,74.44999694824219,66905.0,,,,
2024-10-18,0.022880841364598274,-0.05309974779048752,0.06155649836107066,-0.23806572603687934,0.13092074394561354,-0.3284434432225193,0.13614194028714027,-0.32752590688911326,-0.036671382857875856,0.0,0.0,0.0,ACN,376.8599853515625,1893300.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,0.0015101349485096,0.0002010514393507,0.5,0.3,18.030000686645508,584.5900268554688,69.22000122070312,73.05999755859375,68785.0,,,,
2024-10-21,0.014612806475923576,-0.12890992617585348,0.05662516250092039,-0.27776309259219295,0.12502842301780692,-0.35788950323055607,0.13355695423945008,-0.36633529811632864,-0.07834479044415033,0.0,0.0,0.0,ACN,376.0299987792969,1785100.0,2.79,2.78,0.01,0.3597,0.3253391982442327,0.1434654374767879,0.1026648532450589,0.0015101349485096,0.0001715455967156,0.5,0.5,18.3700008392334,583.6300048828125,70.55999755859375,74.29000091552734,67790.0,,,,
