ZTS
XTSLA
XEL
WU
WTW
WST
WMT
WMB
WM
WEC
WCN
VZ
VRTX
VRSN
VRSK
VMW
UPS
UNH
UHAL
TXN
TW
TRV
TMUS
TMO
TGT
T
SO
SJM
SHW
SGEN
RSG
ROP
ROL
REGN
PSA
PKG
PGR
PG
PFE
PEP
PAYX
OTIS
ORLY
ORCL
ODFL
NTAP
NSC
NOC
NEM
NEE
NBIX
MSI
MSFT
MRK
MOH
MMM
MMC
MKTX
MDT
MDLZ
MCK
MCD
MA
LOW
LNT
LNG
LMT
LLY
LIN
LH
LBTYK
LBRDK
KR
KNX
KMB
KEYS
KDP
K
JNPR
JNJ
JKHY
ITW
IT
IP
INCY
ICE
IBM
HZNP
HUM
HSY
HRL
HON
HOLX
HIG
HD
GRMN
GOOG
GIS
GILD
GEN
FOX
FISV
FHN
EXR
EXPD
EVRG
ES
ERIE
ELV
ED
EBAY
EA
DUK
DTE
DPZ
DHR
DGX
DG
DELL
D
CVS
CTVA
CTSH
CSCO
CPB
CMS
CME
CMCSA
CL
CHTR
CHRW
CHD
CF
CBOE
CB
BRK/B
BR
BMY
BMRN
BKI
BDX
BAX
BAH
AZO
AWK
AVGO
ATVI
ARW
APH
APD
AON
AMGN
AMCR
AKAM
AJG
AIZ
AFG
AEP
AEE
ADP
ACN
ABT
ABC
ABBV
AAPL
