Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit
2013-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-02,26.25,27.969999313354492,25.399999618530273,27.0,20.63227272033691,13845300.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-03,27.1299991607666,31.079999923706055,27.0,30.209999084472656,23.085224151611328,2456400.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-04,30.920000076293945,33.540000915527344,30.399999618530273,31.649999618530273,24.185609817504883,1998100.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-07,31.100000381469727,31.420000076293945,30.020000457763672,30.829999923706055,23.559003829956055,460400.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-08,30.510000228881836,30.63999938964844,28.079999923706055,28.5,21.77851104736328,1101700.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-09,28.5,29.420000076293945,27.75,28.989999771118164,22.15295028686523,367900.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-10,30.0,30.36000061035156,29.579999923706055,29.780000686645508,22.756637573242188,262800.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-11,30.100000381469727,30.100000381469727,28.81999969482422,29.3700008392334,22.443328857421875,132000.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-14,28.81999969482422,29.950000762939453,28.559999465942383,29.86000061035156,22.817766189575195,179600.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-15,30.100000381469727,30.100000381469727,29.479999542236328,29.84000015258789,22.802488327026367,209300.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-16,29.950000762939453,30.049999237060547,29.1299991607666,29.979999542236328,22.909467697143555,340700.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-17,29.719999313354492,29.719999313354492,28.75,29.229999542236328,22.336347579956055,248000.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
2013-10-18,29.010000228881836,29.549999237060547,28.799999237060547,29.350000381469727,22.42804718017578,135200.0,0,0,0,0,0.2598977971819805,0.3610339353046239,0.19093570152808098
