Unnamed: 0,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,delta_Close,delta_Volume,delta_reportedEPS,delta_estimatedEPS,delta_surprise,delta_surprisePercentage,delta_Margin_Gross,delta_Margin_Operating,delta_Margin_Net_Profit,delta_^VIX,delta_SPY,delta_CL=F,delta_BZ=F,delta_BTC=F,delta_10year,delta_5year,delta_3year,delta_2year,delta_insider_acquisition,delta_insider_disposal,delta_mean_sentiment,delta_mean_outlook,PM
1981-03-31 00:00:00+00:00,0.0,2.659517426273458,0.0009533506220932,4.74656188605108,0.0943200471281084,5.2145892351274785,0.2268745105672892,5.157894736842105,2.9166669845581055,2404800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,13.12,13.41,13.12,13.57,0.0,0.0,0.0,0.0,0.3125,1434000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999936,0.16000000000000014,0.27999999999999936,-0.5099999999999998,0.0,0.0,0.0,0.0,0.09999977111818902
1981-06-30 00:00:00+00:00,-0.003696928287215,0.7586206896551724,-0.0111302704927596,0.8,0.0288003474871985,0.6788588149231893,0.1539901199924123,0.6952908587257618,3.2083330154418945,2208000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,13.47,13.95,13.47,14.51,0.0,0.0,0.0,0.0,0.29166603088378906,-196800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3500000000000014,0.5399999999999991,0.3500000000000014,0.9399999999999995,0.0,0.0,0.0,0.0,-0.13311679722345499
1981-09-30 00:00:00+00:00,-0.0173501577287066,-0.4736842105263157,0.0132827324478178,-0.5568685376661743,-0.0905306163231547,-0.659477866061294,-0.0783922724745319,-0.7289360740908064,2.78125,1176000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,15.32,15.93,15.32,16.46,0.0,0.0,0.0,0.0,-0.42708301544189453,-1032000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8499999999999996,1.9800000000000004,1.8499999999999996,1.950000000000001,0.0,0.0,0.0,0.0,0.30337078651685395
1981-12-31 00:00:00+00:00,0.0317662007623888,0.5387931034482759,0.0933081998114986,1.4132492113564668,0.2006900517538815,1.1378667908709827,0.1632960033706068,0.7429276628061514,3.625,1262400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,13.72,13.6,13.72,13.29,0.0,0.0,0.0,0.0,0.84375,86400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5999999999999996,-2.33,-1.5999999999999996,-3.1700000000000017,0.0,0.0,0.0,0.0,-0.2413793103448276
1982-03-31 00:00:00+00:00,0.0065359477124182,-0.8432835820895522,0.0026585643752373,-0.9569583931133429,-0.1148860080464908,-0.9340498290180752,-0.0944431677028581,-0.9146986809888634,2.75,2858400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,13.86,13.98,13.86,14.19,0.0,0.0,0.0,0.0,-0.875,1596000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1399999999999988,0.3800000000000008,0.1399999999999988,0.9000000000000004,0.0,0.0,0.0,0.0,-0.022727272727272728
1982-06-30 00:00:00+00:00,0.0083752093802344,-0.8653846153846154,-0.044090403853279,-0.9260172626387176,-0.051296194153337,-0.9235181644359464,-0.1086286816572136,-0.90393595730487,2.6875,2144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,14.3,14.43,14.3,14.47,0.0,0.0,0.0,0.0,-0.0625,-714400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4400000000000013,0.4499999999999993,0.4400000000000013,0.28000000000000114,0.0,0.0,0.0,0.0,0.2558139534883721
1982-09-30 00:00:00+00:00,0.0216216216216216,-0.5578947368421052,0.0595160235448004,-0.2007104795737123,0.1443371791853072,-0.2510402219140083,0.1468688239284976,-0.3046613443214009,3.375,1696800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,12.34,12.25,12.34,11.78,0.0,0.0,0.0,0.0,0.6875,-447200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9600000000000009,-2.1799999999999997,-1.9600000000000009,-2.6900000000000013,0.0,0.0,0.0,0.0,-0.037037037037037035
1982-12-31 00:00:00+00:00,0.0013755158184318,0.4502762430939226,-0.0110935023771791,0.1621900826446281,-0.0380267214799589,0.3908922316093137,0.0378953788151802,0.6654330125832718,3.25,3028800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,10.54,10.22,10.54,9.66,0.0,0.0,0.0,0.0,-0.125,1332000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8000000000000007,-2.0299999999999994,-1.8000000000000007,-2.119999999999999,0.0,0.0,0.0,0.0,-0.09615384615384616
1983-03-31 00:00:00+00:00,0.007656967840735,0.3125,-0.039182282793867,-0.1983372921615201,-0.0709422358884252,-0.2051030421982335,-0.0881655529208881,-0.0649890338220015,2.9375,2654400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,10.51,10.08,10.51,9.66,0.0,0.0,0.0,0.0,-0.3125,-374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02999999999999936,-0.14000000000000057,-0.02999999999999936,0.0,0.0,0.0,0.0,0.0,0.32978723404255317
1983-06-30 00:00:00+00:00,-0.0190582959641255,-0.5462962962962963,0.0034787262510035,-0.3889427740058195,0.1230907457322551,-0.5659163987138264,0.1490144009804922,-0.5847522794683072,3.90625,2332800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,10.85,10.63,10.85,10.18,0.0,0.0,0.0,0.0,0.96875,-321600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999986,0.5500000000000007,0.33999999999999986,0.5199999999999996,0.0,0.0,0.0,0.0,0.072
