Ticker,ID
CSX,0
CTAS,1
GPC,2
BLK,3
SO,4
TSCO,5
STX,6
TSN,7
AIZ,8
HBI,9
CLX,10
EA,11
APD,12
SBAC,13
CZR,14
SIG,15
VZ,16
MGM,17
NUE,18
STLD,19
ANET,20
WELL,21
FITB,22
HWM,23
SBUX,24
ADBE,25
RVTY,26
NKE,27
OTIS,28
PBI,29
VRSK,30
ADP,31
CARR,32
INTC,33
TYL,34
J,35
HON,36
ALTR,37
EMN,38
JWN,39
XEL,40
AYI,41
ELV,42
VTRS,43
POOL,44
SRE,45
MSI,46
MSCI,47
GILD,48
AMP,49
IT,50
OI,51
DHR,52
WM,53
XRX,54
TPR,55
CE,56
WEC,57
BXP,58
EBAY,59
WMT,60
HPQ,61
ESS,62
PNR,63
PAYC,64
DLR,65
FOSL,66
FAST,67
SLB,68
AAPL,69
NE,70
KMX,71
AWK,72
ETN,73
HUBB,74
WDC,75
BKNG,76
HRB,77
ILMN,78
BMY,79
NEE,80
REG,81
AVY,82
TGNA,83
NDAQ,84
HBAN,85
ISRG,86
MPC,87
QRVO,88
PKG,89
DD,90
ROL,91
ULTA,92
MRK,93
TTWO,94
HES,95
VRTX,96
VMC,97
GRMN,98
URBN,99
APH,100
VLTO,101
ACGL,102
NCLH,103
ECL,104
AJG,105
TXT,106
LVS,107
COP,108
CSGP,109
ALGN,110
ES,111
AVB,112
IR,113
WBA,114
CPAY,115
PX,116
LB,117
LEG,118
EG,119
RMD,120
HRL,121
GOOGL,122
PTC,123
KVUE,124
CPB,125
UNM,126
FIS,127
HD,128
CINF,129
INCY,130
APA,131
C,132
GEHC,133
F,134
EQIX,135
KMI,136
NWSA,137
TGT,138
IEX,139
ON,140
UNH,141
MHK,142
UBER,143
DXC,144
KO,145
BRO,146
KKR,147
FICO,148
CPRT,149
ATI,150
UHS,151
NWL,152
COF,153
PFE,154
PSX,155
RIG,156
ANSS,157
COTY,158
YUM,159
LUV,160
NOW,161
LHX,162
HAL,163
LKQ,164
PSA,165
KIM,166
UAL,167
TRIP,168
CI,169
SMCI,170
PAYX,171
FTI,172
HP,173
HSY,174
TRGP,175
PDCO,176
CHTR,177
SLG,178
PGR,179
WY,180
WBD,181
PH,182
COO,183
DHI,184
FSLR,185
IBM,186
KLAC,187
AMT,188
ADI,189
GEN,190
UPS,191
T,192
FOXA,193
DPZ,194
LULU,195
GWW,196
CAG,197
HPE,198
ZTS,199
HCP,200
TDC,201
TSLA,202
FOX,203
ALL,204
JCI,205
TJX,206
WYNN,207
TDY,208
PLL,209
RSG,210
BWA,211
PNW,212
VRSN,213
CNX,214
EQR,215
CMA,216
BG,217
KEYS,218
ITW,219
KDP,220
OMC,221
LW,222
CTLT,223
MLM,224
OXY,225
TECH,226
UAA,227
BSX,228
MPWR,229
HIG,230
CCI,231
FTNT,232
GNRC,233
ATO,234
EXPD,235
DOV,236
EXC,237
D,238
FTV,239
AIV,240
ENPH,241
MAC,242
CMI,243
FI,244
SHW,245
UDR,246
PODD,247
REGN,248
DAY,249
LNT,250
MAR,251
PCAR,252
OGN,253
BX,254
AMCR,255
PANW,256
DG,257
DOC,258
PEG,259
JKHY,260
IFF,261
ABT,262
EOG,263
MAS,264
COST,265
EW,266
ORCL,267
JBL,268
SYK,269
NXPI,270
ODFL,271
ZBH,272
TMUS,273
NDSN,274
CMG,275
KHC,276
STT,277
GEV,278
FDX,279
IPGP,280
L,281
PPL,282
META,283
FANG,284
SCHW,285
MTCH,286
BIO,287
HLT,288
IP,289
DRI,290
DVA,291
FLS,292
AMGN,293
BDX,294
CAT,295
JBHT,296
RJF,297
UA,298
PPG,299
DLTR,300
WHR,301
ETSY,302
SNPS,303
TMO,304
TXN,305
LYV,306
CPRI,307
MOS,308
WTW,309
JNJ,310
ALK,311
CRL,312
HCA,313
SWKS,314
BR,315
NVR,316
AKAM,317
CNP,318
SOLV,319
LIN,320
EFX,321
CME,322
CF,323
MCK,324
CB,325
ALLE,326
GIS,327
ZBRA,328
BHF,329
V,330
ABBV,331
TRV,332
SNA,333
ACN,334
USB,335
LYB,336
AMG,337
BEN,338
AOS,339
CAH,340
XRAY,341
DVN,342
GT,343
CPT,344
PNC,345
MET,346
LUMN,347
XOM,348
EPAM,349
LDOS,350
