ticker
A
AABA
AAL
AAP
AAPL
ABBV
ABC
ABMD
ABNB
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADS
ADSK
ADT
AEE
AEP
AES
AET
AFL
AGN
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALTR
ALXN
AMAT
AMCR
AMD
AME
AMG
AMGN
AMP
AMT
AMZN
AN
ANDV
ANET
ANSS
ANTM
AON
AOS
APA
APC
APD
APH
APTV
ARE
ARG
ARNC
ATI
ATO
ATVI
AVB
AVGO
AVP
AVY
AWK
AXON
AXP
AYI
AZO
BA
BAC
BALL
BAX
BBBY
BBT
BBWI
BBY
BCR
BDX
BEN
BF.B
BG
BHF
BHGE
BIIB
BIO
BK
BKNG
BKR
BLDR
BLK
BLL
BMS
BMY
BR
BRCM
BRK.B
BRO
BSX
BWA
BX
BXLT
BXP
C
CA
CAG
CAH
CAM
CARR
CAT
CB
CBOE
CBRE
CBS
CCE
CCEP
CCI
CCL
CDAY
CDNS
CDW
CE
CEG
CELG
CERN
CF
CFG
CFN
CHD
CHK
CHRW
CHTR
CI
CINF
CL
CLX
CMA
CMCSA
CMCSK
CME
CMG
CMI
CMS
CNC
CNP
CNX
COF
COG
COL
COO
COP
COR
COST
COTY
COV
CPAY
CPB
CPGX
CPRI
CPRT
CPT
CRL
CRM
CRWD
CSCO
CSGP
CSRA
CSX
CTAS
CTL
CTLT
CTRA
CTSH
CTVA
CTXS
CVC
CVS
CVX
CXO
CZR
D
DAL
DAY
DD
DE
DECK
DFS
DG
DGX
DHI
DHR
DIS
DISCA
DISCK
DISH
DLR
DLTR
DNB
DNR
DO
DOC
DOV
DOW
DPZ
DRE
DRI
DTE
DTV
DUK
DVA
DVN
DWDP
DXC
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EMC
EMN
EMR
ENDP
ENPH
EOG
EPAM
EQIX
EQR
EQT
ES
ESRX
ESS
ESV
ETFC
ETN
ETR
ETSY
EVHC
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FB
FBHS
FCPT
FCX
FDO
FDS
FDX
FE
FFIV
FI
FICO
FIS
FISV
FITB
FL
FLIR
FLR
FLS
FLT
FMC
FOSL
FOX
FOXA
FRC
FRT
FSLR
FTI
FTNT
FTR
FTV
GAS
GD
GDDY
GE
GEHC
GEN
GEV
GGP
GILD
GIS
GL
GLW
GM
GMCR
GME
GNRC
GNW
GOOG
GOOGL
GPC
GPN
GPS
GRMN
GS
GT
GWW
HAL
HAR
HAS
HBAN
HBI
HCA
HCBK
HCP
HD
HES
HFC
HIG
HII
HLT
HOG
HOLX
HON
HOT
HP
HPE
HPQ
HRB
HRL
HRS
HSIC
HSP
HST
HSY
HUBB
HUM
HWM
IBM
ICE
IDXX
IEX
IFF
ILMN
INCY
INFO
INTC
INTU
INVH
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JBL
JCI
JEC
JEF
JKHY
JNJ
JNPR
JOY
JPM
JWN
K
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KO
KORS
KR
KRFT
KSS
KSU
KVUE
L
LB
LDOS
LEG
LEN
LH
LHX
LIN
LKQ
LLL
LLTC
LLY
LM
LMT
LNC
LNT
LO
LOW
LRCX
LULU
LUMN
LUV
LVLT
LVS
LW
LYB
LYV
M
MA
MAA
MAC
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MHK
MJN
MKC
MKTX
MLM
MMC
MMM
MNK
MNST
MO
MOH
MON
MOS
MPC
MPWR
MRK
MRNA
MRO
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
MUR
MWV
MXIM
MYL
NAVI
NBL
NBR
NCLH
NDAQ
NDSN
NE
NEE
NEM
NFLX
NFX
NI
NKE
NKTR
NLOK
NLSN
NOC
NOV
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWL
NWS
NWSA
NXPI
O
ODFL
OGN
OI
OKE
OMC
ON
ORCL
ORLY
OTIS
OXY
PANW
PARA
PAYC
PAYX
PBCT
PBI
PCAR
PCG
PCL
PCP
PDCO
PEAK
PEG
PENN
PEP
PETM
PFE
PFG
PG
PGR
PH
PHM
PKG
PKI
PLD
PLL
PM
PNC
PNR
PNW
PODD
POM
POOL
PPG
PPL
PRGO
PRU
PSA
PSX
PTC
PVH
PWR
PX
PXD
PYPL
QCOM
QEP
QRVO
R
RAI
RCL
RE
REG
REGN
RF
RHI
RHT
RIG
RJF
RL
RMD
ROK
ROL
ROP
ROST
RRC
RSG
RTN
RTX
RVTY
SBAC
SBNY
SBUX
SCG
SCHW
SE
SEDG
SEE
SHW
SIAL
SIG
SIVB
SJM
SLB
SLG
SMCI
SNA
SNDK
SNI
SNPS
SO
SOLV
SPG
SPGI
SPLS
SRCL
SRE
STE
STI
STJ
STLD
STT
STX
STZ
SW
SWK
SWKS
SWN
SWY
SYF
SYK
SYMC
SYY
T
TAP
TDC
TDG
TDY
TE
TECH
TEG
TEL
TER
TFC
TFX
TGNA
TGT
THC
TIF
TJX
TMK
TMO
TMUS
TPR
TRGP
TRIP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TSS
TT
TTWO
TWC
TWTR
TWX
TXN
TXT
TYL
UA
UAA
UAL
UBER
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URBN
URI
USB
UTX
V
VAR
VFC
VIAB
VIAC
VICI
VLO
VLTO
VMC
VNO
VNT
VRSK
VRSN
VRTX
VST
VTR
VTRS
VZ
WAB
WAT
WBA
WBD
WCG
WDC
WEC
WELL
WFC
WFM
WHR
WIN
WLTW
WM
WMB
WMT
WRB
WRK
WST
WTW
WU
WY
WYND
WYNN
XEC
XEL
XL
XLNX
XOM
XRAY
XRX
XYL
YUM
ZBH
ZBRA
ZION
ZTS
